Index;Logradouro;Numero;Complemento;Valor_Avaliacao;Bairro;Ano_Construcao;Area_Terreno;Area_Construida;Padrao_Acabamento;Tipo_Construcao;Tipo_Ocupacao;Data_Transacao;Estado_Conservacao;Tipo_Imovel;Ano;Região;Mes
0;Rua Caio Pereira;375;Apto 1102 Edf Luar Do Rosarinho;400000;Encruzilhada;2007;798.91;118.64;Médio;Apartamento > 4 Pavimentos;Residencial;2021-10-20;Bom;Apartamento;2021;Norte;Outubro
1;Rua Caio Pereira;800;Apto 1103 Edf Sainte Juliana;553562;Encruzilhada;2017;1295.39;145.49;Superior;Apartamento > 4 Pavimentos;Residencial;2021-01-06;Bom;Apartamento;2021;Norte;Janeiro
2;Rua Caio Pereira;800;Apto 1201 Edf Sainte Juliana;610000;Encruzilhada;2017;1295.39;145.68;Superior;Apartamento > 4 Pavimentos;Residencial;2021-04-27;Bom;Apartamento;2021;Norte;Abril
3;Rua Caio Pereira;800;Apto 503 Edf Sainte Juliana;537502;Encruzilhada;2017;1295.39;145.49;Superior;Apartamento > 4 Pavimentos;Residencial;2021-09-08;Bom;Apartamento;2021;Norte;Setembro
4;Rua Caio Pereira;800;Apto 603 Edf Sainte Juliana;620000;Encruzilhada;2017;1295.39;145.49;Superior;Apartamento > 4 Pavimentos;Residencial;2021-05-24;Bom;Apartamento;2021;Norte;Maio
5;Rua Caio Pereira;800;Apto 1902 Edf Sainte Juliana;680000;Encruzilhada;2017;1295.39;145.8;Superior;Apartamento > 4 Pavimentos;Residencial;2021-12-15;Bom;Apartamento;2021;Norte;Dezembro
6;Rua Caio Pereira;800;Apto 1602 Edf Sainte Juliana;650000;Encruzilhada;2017;1295.39;145.8;Superior;Apartamento > 4 Pavimentos;Residencial;2021-10-13;Bom;Apartamento;2021;Norte;Outubro
7;Rua Caio Pereira;334;Apto 902 Edf Essenza Rosarinho;671292;Encruzilhada;2011;1737.63;183.6;Superior;Apartamento > 4 Pavimentos;Residencial;2021-10-27;Bom;Apartamento;2021;Norte;Outubro
8;Rua Caio Pereira;334;Apto 2601 Edf Essenza Rosarinho;29613;Encruzilhada;2011;1737.63;183.6;Superior;Apartamento > 4 Pavimentos;Residencial;2021-03-10;Bom;Apartamento;2021;Norte;Março
9;Rua Caio Pereira;334;Apto 2601 Edf Essenza Rosarinho;820000;Encruzilhada;2011;1737.63;183.6;Superior;Apartamento > 4 Pavimentos;Residencial;2021-01-27;Bom;Apartamento;2021;Norte;Janeiro
10;Rua Caio Pereira;334;Apto 2402 Edf Essenza Rosarinho;1050000;Encruzilhada;2011;1737.63;183.6;Superior;Apartamento > 4 Pavimentos;Residencial;2021-10-09;Bom;Apartamento;2021;Norte;Outubro
11;Rua Caio Pereira;390;Apto 1001 Edf Acantis;630000;Encruzilhada;2005;1147.48;179.0;Superior;Apartamento > 4 Pavimentos;Residencial;2021-06-22;Bom;Apartamento;2021;Norte;Junho
